statistic	source	condition	score	p_value
norm_wmean	CEBPA	t0.5_t0	1.9709742279773208	0.06000000000000005
norm_wmean	CEBPA	t1_t0.5	-1.3448587437492399	0.16
norm_wmean	CEBPA	t2_t1	3.129407130073124	0.020000000000000018
norm_wmean	CEBPA	t3_t2	-2.631991888937208	0.02
norm_wmean	CEBPA	t4_t3	-2.1043965476039155	0.06
norm_wmean	CEBPA	t8_t4	-4.246312411040561	0.72
norm_wmean	CEBPB	t0.5_t0	6.590530065077952	0.02
norm_wmean	CEBPB	t1_t0.5	-0.6856090079515704	0.66
norm_wmean	CEBPB	t2_t1	0.42990291736436836	0.41999999999999993
norm_wmean	CEBPB	t3_t2	-0.7630522964157691	0.58
norm_wmean	CEBPB	t4_t3	0.24256214348135968	0.020000000000000018
norm_wmean	CEBPB	t8_t4	-3.429682466407588	0.04
norm_wmean	CLOCK	t0.5_t0	3.288741874863975	0.36
norm_wmean	CLOCK	t1_t0.5	-0.0635962794351948	0.5
norm_wmean	CLOCK	t2_t1	-0.6017479659289602	0.46
norm_wmean	CLOCK	t3_t2	-0.456555653823614	0.76
norm_wmean	CLOCK	t4_t3	-0.639103933415557	0.98
norm_wmean	CLOCK	t8_t4	-2.173758361193042	0.26
norm_wmean	CREB1	t0.5_t0	11.689582875061879	0.02
norm_wmean	CREB1	t1_t0.5	-1.4636869182301793	0.18
norm_wmean	CREB1	t2_t1	-1.3816474486432653	0.1
norm_wmean	CREB1	t3_t2	-5.229559477045126	0.02
norm_wmean	CREB1	t4_t3	-2.979784212922306	0.02
norm_wmean	CREB1	t8_t4	-1.6638818163961469	0.84
norm_wmean	CREM	t0.5_t0	1.6146291308642027	0.64
norm_wmean	CREM	t1_t0.5	2.5131327699214476	0.02
norm_wmean	CREM	t2_t1	0.29104995927839683	0.72
norm_wmean	CREM	t3_t2	-0.7773416852201115	0.88
norm_wmean	CREM	t4_t3	-2.7537454842756555	0.02
norm_wmean	CREM	t8_t4	-0.6792304720042386	0.3999999999999999
norm_wmean	CTCF	t0.5_t0	1.869656315751216	0.06000000000000005
norm_wmean	CTCF	t1_t0.5	-0.6414625809890487	0.52
norm_wmean	CTCF	t2_t1	7.930151450255664	0.32
norm_wmean	CTCF	t3_t2	-0.7951187287151267	0.44
norm_wmean	CTCF	t4_t3	0.9871977485622044	0.3999999999999999
norm_wmean	CTCF	t8_t4	-5.626302154179381	0.06
norm_wmean	CUX1	t0.5_t0	0.440870544639355	0.10000000000000009
norm_wmean	CUX1	t1_t0.5	0.7421372633345964	0.9
norm_wmean	CUX1	t2_t1	3.4739528572561604	0.04
norm_wmean	CUX1	t3_t2	-0.44709104393242494	0.72
norm_wmean	CUX1	t4_t3	-1.512019647903811	0.26
norm_wmean	CUX1	t8_t4	-1.9539333613541021	0.44
norm_wmean	E2F1	t0.5_t0	0.09723916646276883	0.98
norm_wmean	E2F1	t1_t0.5	-1.758761677948604	0.14
norm_wmean	E2F1	t2_t1	-0.562334981148407	0.58
norm_wmean	E2F1	t3_t2	-0.26106205870909777	0.84
norm_wmean	E2F1	t4_t3	-1.0172079154171305	0.36
norm_wmean	E2F1	t8_t4	-0.12165379707723414	0.8999999999999999
norm_wmean	E2F2	t0.5_t0	-2.626904357813547	0.02
norm_wmean	E2F2	t1_t0.5	-0.3014801293833139	0.76
norm_wmean	E2F2	t2_t1	-1.2270263188630661	0.24
norm_wmean	E2F2	t3_t2	1.2025692386255513	0.56
norm_wmean	E2F2	t4_t3	1.3756686428494913	0.26
norm_wmean	E2F2	t8_t4	2.5565608994896434	0.02
norm_wmean	E2F3	t0.5_t0	-0.2785600871925959	0.9
norm_wmean	E2F3	t1_t0.5	-0.484596488304543	0.98
norm_wmean	E2F3	t2_t1	-2.0079992562529085	0.06
norm_wmean	E2F3	t3_t2	0.8398295969122508	0.96
norm_wmean	E2F3	t4_t3	1.4320375462240482	0.2
norm_wmean	E2F3	t8_t4	0.5785054460614133	0.62
norm_wmean	E2F4	t0.5_t0	-0.7542871582879502	0.5
norm_wmean	E2F4	t1_t0.5	-1.9690070297104163	0.04
norm_wmean	E2F4	t2_t1	-3.44167937310827	0.02
norm_wmean	E2F4	t3_t2	1.1916006712854912	0.8999999999999999
norm_wmean	E2F4	t4_t3	-1.4373735314960066	0.16
norm_wmean	E2F4	t8_t4	5.04508699464396	0.02
norm_wmean	E2F5	t0.5_t0	4.2060794574393645	0.02
norm_wmean	E2F5	t1_t0.5	1.310821585743306	0.5
norm_wmean	E2F5	t2_t1	-0.5275136677838016	0.56
norm_wmean	E2F5	t3_t2	0.18684914911574896	0.19999999999999996
