condition	type	feature	score
t8_t4	measurement	JUND	-4.375900359907703
t3_t2	measurement	ZEB2	-4.37505871854454
t8_t4	measurement	IRF2	4.361339381834342
t2_t1	measurement	TP63	4.35743829217614
t0.5_t0	measurement	SOX9	4.30595468978663
t8_t4	measurement	FLI1	-4.286397899801573
t2_t1	measurement	TFAP4	4.2751304854516885
t0.5_t0	measurement	NFKB2	4.264988829646829
t8_t4	measurement	CEBPA	-4.246312411040561
t8_t4	measurement	NEUROD1	-4.236300261128959
t1_t0.5	measurement	STAT4	4.2266080352541495
t8_t4	measurement	BHLHE40	-4.222081883527599
t0.5_t0	measurement	ETV4	4.221584326851246
t0.5_t0	measurement	E2F5	4.2060794574393645
t8_t4	measurement	TEAD2	-4.202377036299955
t8_t4	measurement	ASCL1	-4.188799142975094
t1_t0.5	measurement	TP53	-4.175870201339602
t8_t4	measurement	MEF2B	-4.174733008809109
t8_t4	measurement	ERG	-4.1679332463246705
t8_t4	measurement	MAZ	-4.151765583385508
t8_t4	measurement	MNT	-4.140457061557235
t0.5_t0	measurement	ATF6	4.140328484015244
t2_t1	measurement	NR2F1	4.1355811881896445
t0.5_t0	measurement	ARID3A	4.118432191028784
t0.5_t0	measurement	SMAD3	4.044237246549494
t0.5_t0	measurement	TEAD4	4.02075334398571
t8_t4	measurement	BACH1	-4.013271300770089
t0.5_t0	measurement	FOXO3	4.002959175285787
t3_t2	measurement	SPI1	-3.9969532031160107
t3_t2	measurement	GATA3	-3.9882226153571474
t8_t4	measurement	SP3	-3.9816819767044715
t2_t1	measurement	ELK1	-3.968587470210513
t0.5_t0	measurement	FOSL1	3.916664360963208
t3_t2	measurement	STAT1	-3.8494185609381253
t8_t4	measurement	KLF13	-3.8414306423428366
t4_t3	measurement	SPI1	-3.80448559021085
t2_t1	measurement	ESR1	3.7923602784996406
t0.5_t0	measurement	PRDM1	-3.7733273520073554
t3_t2	measurement	ETV6	-3.7465658826276753
t2_t1	measurement	ETS2	-3.7396521736623276
t4_t3	measurement	GATA2	-3.722179927270847
t1_t0.5	measurement	SMAD4	-3.720499108508798
t4_t3	measurement	FOXA1	-3.7048312035016524
t2_t1	measurement	TEAD4	3.681669982028384
t8_t4	measurement	STAT1	-3.6774873106044272
t2_t1	measurement	RUNX1	3.664913073346695
t8_t4	measurement	XBP1	3.6605809714962536
t0.5_t0	measurement	KLF5	3.6600988883822274
t1_t0.5	measurement	IRF1	-3.64986599568882
t0.5_t0	measurement	MAX	3.647001990116629
t8_t4	measurement	KDM5B	-3.643730071040891
t8_t4	measurement	TP53	-3.603077672958993
t2_t1	measurement	AR	3.5998600049431437
t4_t3	measurement	HIF1A	-3.5979231781507246
t1_t0.5	measurement	IRF2	-3.5826294696623604
t4_t3	measurement	FOXA2	-3.578281312333007
t2_t1	measurement	SMAD3	3.5759083345493736
t0.5_t0	measurement	NR2C2	-3.573022682947234
t2_t1	measurement	E2F6	3.5692552719446713
t8_t4	measurement	MXI1	-3.5673854588049796
t2_t1	measurement	ASCL1	3.560050238369562
t3_t2	measurement	SOX2	-3.553404160601592
t1_t0.5	measurement	STAT2	-3.529438025256124
t8_t4	measurement	SP4	-3.5192134502615318
t3_t2	measurement	MEIS2	-3.5007035812553373
t4_t3	measurement	GATA3	-3.4968042635877112
t2_t1	measurement	MEIS2	-3.4908398438661616
t2_t1	measurement	ETV1	-3.489028198345084
t0.5_t0	measurement	IRF1	3.4887722230250895
t2_t1	measurement	SPI1	3.4754647359541244
t2_t1	measurement	CUX1	3.4739528572561604
t3_t2	measurement	FOXO3	-3.4719759698500625
t0.5_t0	measurement	E2F6	3.469189434417247
t3_t2	measurement	NR4A1	-3.462814685264189
t0.5_t0	measurement	REL	3.4606470094420745
t2_t1	measurement	PRDM1	3.459080138344467
t0.5_t0	measurement	USF2	3.4552574336576867
t1_t0.5	measurement	ETS2	-3.4459370818458828
t4_t3	measurement	GATA1	-3.4421235069011837
t2_t1	measurement	E2F4	-3.44167937310827
t0.5_t0	measurement	ELF1	3.436611852246783
t8_t4	measurement	GATA3	-3.433779026577341
t8_t4	measurement	CEBPB	-3.429682466407588
t3_t2	measurement	FOSL2	-3.4286037658338206
t4_t3	measurement	FOS	-3.421300887113617
t4_t3	measurement	STAT3	-3.418945222821771
t2_t1	measurement	ESR2	3.4133051579921374
t2_t1	measurement	MAX	3.4097551318130472
t0.5_t0	measurement	STAT5B	3.392640465054087
t2_t1	measurement	ERG	3.378482530377461
t0.5_t0	measurement	TP63	3.3721674435100524
t3_t2	measurement	GATA2	-3.3456404005836204
t8_t4	measurement	RARB	-3.3418570479552727
t1_t0.5	measurement	STAT1	-3.324124715868854
t0.5_t0	measurement	MEF2C	3.322919112970106
t0.5_t0	measurement	CLOCK	3.288741874863975
t4_t3	measurement	ATF1	-3.286968426878422
t0.5_t0	measurement	WT1	3.2817024613745587
t3_t2	measurement	NFATC1	-3.2808578204315935
t1_t0.5	measurement	ATF7	-3.2798370912829427
t8_t4	measurement	TCF7	-3.275571047255323
t1_t0.5	measurement	FOXL2	-3.2688225195422738
t3_t2	measurement	KLF5	3.2602590511368157
t0.5_t0	measurement	NFATC1	3.232348143353302
t2_t1	measurement	VDR	3.230734758132612
t3_t2	measurement	ELF3	-3.2199638669541057
t0.5_t0	measurement	STAT5A	3.204893877895947
t0.5_t0	measurement	MXI1	3.195783682579881
t0.5_t0	measurement	ETV1	3.192441395204986
t3_t2	measurement	PKNOX1	-3.168089171895119
t4_t3	measurement	EGR1	-3.1570714457950055
t3_t2	measurement	CDX2	-3.144366058988393
t3_t2	measurement	MEIS1	-3.135120498757463
t2_t1	measurement	RUNX2	3.1331619651915408
t2_t1	measurement	CEBPA	3.129407130073124
t0.5_t0	measurement	IRF4	3.125516808355403
t8_t4	measurement	NFKB2	-3.1216335346568638
t3_t2	measurement	ELK4	-3.11616616885533
t2_t1	measurement	IKZF1	3.11359483796975
t3_t2	measurement	ELF1	-3.0758878026970256
t4_t3	measurement	ATF7	3.066811592010064
t4_t3	measurement	NR2F1	3.064274788196137
t8_t4	measurement	PRDM1	-3.0641342892499197
t1_t0.5	measurement	LEF1	3.060974512405263
t4_t3	measurement	TAL1	-3.0586839942382174
t4_t3	measurement	SOX2	-3.0524651448704225
t2_t1	measurement	PGR	3.0379966849829754
t8_t4	measurement	KLF1	-3.035589007591505
t1_t0.5	measurement	FOSL2	3.035320036752592
t8_t4	measurement	ELK1	-3.0309692146561615
t2_t1	measurement	STAT5A	3.007358304421031
t2_t1	measurement	ZEB1	3.0006967441719268
t3_t2	measurement	FOXA1	-2.9992963159563364
t2_t1	measurement	KDM5B	2.9904164662258848
t0.5_t0	measurement	KLF1	2.9799052243790936
t4_t3	measurement	CREB1	-2.979784212922306
t3_t2	measurement	RBPJ	-2.955195734584464
t0.5_t0	measurement	ZEB1	2.9433345931651567
t0.5_t0	measurement	NFIC	2.9363386010508195
t3_t2	measurement	GATA1	-2.9253104865812736
t1_t0.5	measurement	ETS1	-2.924770854232777
t3_t2	measurement	HNF4A	-2.916942711359582
t4_t3	measurement	FOXO3	-2.8746677737808746
t2_t1	measurement	HSF1	2.870499481835344
t8_t4	measurement	EBF1	-2.870384934818503
t2_t1	measurement	BACH1	2.8659118528647904
t4_t3	measurement	JUN	-2.8610558208941317
t8_t4	measurement	TFAP2A	-2.856518190991584
t0.5_t0	measurement	MNT	2.8531147737490765
t3_t2	measurement	ESR1	-2.8478362077094204
t8_t4	measurement	PBX3	-2.8468697436062342
t3_t2	measurement	TFAP4	-2.84116111687415
t8_t4	measurement	HOXA9	2.8383808730856734
t2_t1	measurement	RELB	2.8351532674824593
t0.5_t0	measurement	ARNTL	2.8325609187344973
t4_t3	measurement	TP73	2.8211717335896545
t2_t1	measurement	IRF2	-2.8146743456738186
t2_t1	measurement	FOXL2	-2.81114228536206
t0.5_t0	measurement	RFX1	-2.80841471017296
t8_t4	measurement	TP63	-2.792610568293265
t8_t4	measurement	GATA6	-2.7853076677372015
t8_t4	measurement	ATF7	2.783623183212517
t1_t0.5	measurement	TP73	-2.778001663290407
t0.5_t0	measurement	SPI1	2.7710523858024203
t0.5_t0	measurement	ZBTB33	-2.770259411710158
t3_t2	measurement	ETV1	-2.7588800233138966
t4_t3	measurement	CREM	-2.7537454842756555
t8_t4	measurement	MAF	-2.7533831954953647
t4_t3	measurement	AR	-2.752609722652453
t3_t2	measurement	TAL1	-2.751566929764327
t0.5_t0	measurement	USF1	2.739685839318152
t2_t1	measurement	NFIC	2.727713061219681
t8_t4	measurement	TWIST1	-2.72500903754236
t0.5_t0	measurement	STAT4	2.718872676666056
t0.5_t0	measurement	SOX2	2.7171138367495593
t4_t3	measurement	MITF	-2.712349260844633
t8_t4	measurement	VDR	-2.7079838464702313
t2_t1	measurement	FOS	2.7079187289393727
t1_t0.5	measurement	PPARG	-2.7067534739905312
t8_t4	measurement	JUNB	-2.7050133368164
t3_t2	measurement	WT1	-2.6967309995883397
t2_t1	measurement	MAZ	2.6849342747014378
t2_t1	measurement	GATA2	2.68150311677244
t3_t2	measurement	NCOA3	-2.6740827354696326
t2_t1	measurement	RARG	-2.6739664754197756
t2_t1	measurement	POU5F1	2.6611634756644174
t2_t1	measurement	STAT4	-2.6487462054526905
t4_t3	measurement	ARID3A	-2.6469182466322803
t1_t0.5	measurement	TCF7L1	2.6447431830131953
t3_t2	measurement	MAX	-2.6416982408886596
t2_t1	measurement	GLI2	2.6403604685448343
t3_t2	measurement	CEBPA	-2.631991888937208
t0.5_t0	measurement	E2F2	-2.626904357813547
